,order_date,demand
601,2018-05-09,335.0
602,2018-05-10,273.0
603,2018-05-11,244.0
604,2018-05-12,200.0
605,2018-05-13,205.0
606,2018-05-14,355.0
607,2018-05-15,348.0
608,2018-05-16,351.0
609,2018-05-17,224.0
610,2018-05-18,232.0
611,2018-05-19,137.0
612,2018-05-20,158.0
613,2018-05-21,199.0
614,2018-05-22,195.0
615,2018-05-23,132.0
616,2018-05-24,113.0
617,2018-05-25,103.0
618,2018-05-26,99.0
619,2018-05-27,100.0
620,2018-05-28,142.0
621,2018-05-29,149.0
622,2018-05-30,138.0
623,2018-05-31,132.0
624,2018-06-01,184.0
625,2018-06-02,141.0
626,2018-06-03,189.0
627,2018-06-04,222.0
628,2018-06-05,196.0
629,2018-06-06,227.0
630,2018-06-07,223.0
631,2018-06-08,195.0
632,2018-06-09,169.0
633,2018-06-10,190.0
634,2018-06-11,294.0
635,2018-06-12,244.0
636,2018-06-13,253.0
637,2018-06-14,211.0
638,2018-06-15,182.0
639,2018-06-16,162.0
640,2018-06-17,151.0
641,2018-06-18,243.0
642,2018-06-19,228.0
643,2018-06-20,216.0
644,2018-06-21,232.0
645,2018-06-22,177.0
646,2018-06-23,149.0
647,2018-06-24,198.0
648,2018-06-25,238.0
649,2018-06-26,238.0
650,2018-06-27,214.0
651,2018-06-28,239.0
652,2018-06-29,171.0
653,2018-06-30,123.0
654,2018-07-01,159.0
655,2018-07-02,193.0
656,2018-07-03,214.0
657,2018-07-04,251.0
658,2018-07-05,193.0
659,2018-07-06,120.0
660,2018-07-07,89.0
661,2018-07-08,118.0
662,2018-07-09,146.0
663,2018-07-10,129.0
664,2018-07-11,123.0
665,2018-07-12,117.0
666,2018-07-13,167.0
667,2018-07-14,142.0
668,2018-07-15,148.0
669,2018-07-16,238.0
670,2018-07-17,216.0
671,2018-07-18,302.0
672,2018-07-19,249.0
673,2018-07-20,247.0
674,2018-07-21,184.0
675,2018-07-22,213.0
676,2018-07-23,298.0
677,2018-07-24,264.0
678,2018-07-25,264.0
679,2018-07-26,244.0
680,2018-07-27,186.0
681,2018-07-28,172.0
682,2018-07-29,182.0
683,2018-07-30,278.0
684,2018-07-31,313.0
685,2018-08-01,306.0
686,2018-08-02,292.0
687,2018-08-03,308.0
688,2018-08-04,236.0
689,2018-08-05,269.0
690,2018-08-06,363.0
691,2018-08-07,353.0
692,2018-08-08,310.0
693,2018-08-09,280.0
694,2018-08-10,249.0
695,2018-08-11,185.0
696,2018-08-12,191.0
697,2018-08-13,284.0
698,2018-08-14,311.0
699,2018-08-15,282.0
700,2018-08-16,316.0
701,2018-08-17,249.0
702,2018-08-18,193.0
703,2018-08-19,204.0
704,2018-08-20,251.0
705,2018-08-21,238.0
706,2018-08-22,185.0
707,2018-08-23,142.0
708,2018-08-24,96.0
709,2018-08-25,69.0
710,2018-08-26,73.0
711,2018-08-27,66.0
712,2018-08-28,39.0
713,2018-08-29,11.0
